gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
980221858,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243988171,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1997-01-12,12,1,1997,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243988171,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:10:57.827Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980221770,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243987443,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1996-12-01,1,12,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243987443,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:33:16.981Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980221674,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243988313,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1997-04-02,2,4,1997,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243988313,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.531Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980220739,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243987429,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,4,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1996-11-23,23,11,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243987429,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.444Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980220099,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243987405,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1996-10-26,26,10,1996,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243987405,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:32:31.584Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980218908,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243989843,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1999-04-03,3,4,1999,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243989843,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:29:06.690Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980217998,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243984415,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1994-01-15,15,1,1994,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS243984415,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:31:20.939Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980188517,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS244301151,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Tsawwassen--Winskill Park,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.019897,-123.07092,,,,,,,2013-11-24,24,11,2013,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS244301151,,,,CC_BY_4_0,,obsr504107,,,2024-01-24T21:09:12.935Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980135049,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS243620244,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Lillooet - Airport Gardens,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.681286,-121.91773,,,,,,,2009-11-23,23,11,2009,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS243620244,,,,CC_BY_4_0,,obsr13023,,,2024-01-24T21:32:20.769Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980135005,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS243620233,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Lillooet - Airport Gardens,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.681286,-121.91773,,,,,,,2009-11-21,21,11,2009,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS243620233,,,,CC_BY_4_0,,obsr13023,,,2024-01-24T21:10:03.149Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980133759,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS243620215,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Lillooet - Airport Gardens,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,50.681286,-121.91773,,,,,,,2009-11-20,20,11,2009,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS243620215,,,,CC_BY_4_0,,obsr13023,,,2024-01-24T21:09:55.918Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980104734,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD_CAN:OBS244873548,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Boundary Bay--72nd St. Access,British Columbia,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.0595,-123.02424,,,,,,,2008-11-22,22,11,2008,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD_CAN,OBS244873548,,,,CC_BY_4_0,,obsr162222,,,2024-01-24T20:27:02.002Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980095164,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS244149144,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,1,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,1995-11-26,26,11,1995,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS244149144,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.680Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980094972,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS244071735,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,2,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,2000-11-19,19,11,2000,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS244071735,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T21:32:27.260Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
980092114,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS244073491,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,Asio flammeus,,SPECIES,"Asio flammeus (Pontoppidan, 1763)",Asio flammeus,,CA,Colony Farm,British Columbia,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,49.23429,-122.79964,,,,,,,2001-01-06,6,1,2001,2497295,2497295,HUMAN_OBSERVATION,CLO,EBIRD,OBS244073491,,,,CC_BY_4_0,,obsr170815,,,2024-01-24T20:27:00.668Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
